transaction_id,customer_id,amount,payment_status,failure_reason,payment_method,successful_payments,previous_recovery_attempts,created_at
TXN0046,CUST023,10000,success,,netbanking,6,0,2026-08-21 02:12:30
TXN0047,CUST010,750,success,,netbanking,9,0,2026-08-20 03:12:30
TXN0048,CUST031,2000,success,,card,17,0,2026-08-16 21:12:30
TXN0049,CUST045,10000,failed,card_declined,upi,1,1,2026-08-17 10:12:30
TXN0050,CUST054,500,success,,wallet,7,0,2026-08-16 15:12:30
TXN0051,CUST047,3000,failed,authentication_failed,upi,17,2,2026-08-19 20:12:30
TXN0052,CUST008,2500,success,,wallet,2,0,2026-08-16 10:12:30
TXN0053,CUST067,10000,success,,netbanking,18,0,2026-08-14 15:12:30
TXN0054,CUST063,500,success,,card,1,0,2026-08-20 04:12:30
TXN0055,CUST054,2500,success,,card,2,0,2026-08-16 12:12:30
TXN0056,CUST051,1000,success,,upi,11,0,2026-08-18 12:12:30
TXN0057,CUST077,10000,success,,wallet,15,0,2026-08-17 18:12:30
TXN0058,CUST058,500,success,,wallet,11,0,2026-08-21 05:12:30
TXN0059,CUST004,7500,failed,bank_timeout,upi,12,2,2026-08-21 01:12:30
TXN0060,CUST008,750,success,,wallet,2,0,2026-08-19 10:12:30
TXN0061,CUST021,10000,failed,bank_timeout,card,20,3,2026-08-20 20:12:30
TXN0062,CUST001,2000,success,,upi,7,0,2026-08-17 01:12:30
TXN0063,CUST045,2500,failed,card_declined,wallet,10,2,2026-08-19 02:12:30
TXN0064,CUST053,3000,success,,upi,7,0,2026-08-19 01:12:30
TXN0065,CUST058,3000,success,,card,0,0,2026-08-16 13:12:30
TXN0066,CUST025,1000,success,,netbanking,14,0,2026-08-21 03:12:30
TXN0067,CUST076,5000,success,,wallet,1,0,2026-08-16 20:12:30
TXN0068,CUST039,1000,failed,upi_failure,wallet,18,2,2026-08-14 18:12:30
TXN0069,CUST042,7500,success,,netbanking,2,0,2026-08-14 17:12:30
TXN0070,CUST053,750,success,,upi,1,0,2026-08-16 05:12:30
TXN0071,CUST028,1500,success,,wallet,15,0,2026-08-18 22:12:30
TXN0072,CUST024,3000,success,,card,6,0,2026-08-20 05:12:30
TXN0073,CUST001,5000,success,,wallet,3,0,2026-08-21 03:12:30
TXN0074,CUST037,1500,success,,wallet,9,0,2026-08-19 14:12:30
TXN0075,CUST024,2500,failed,authentication_failed,card,6,1,2026-08-15 14:12:30
TXN0076,CUST025,1000,failed,card_declined,upi,11,0,2026-08-21 07:12:30
TXN0077,CUST027,2500,failed,authentication_failed,wallet,0,3,2026-08-19 08:12:30
TXN0078,CUST053,500,success,,netbanking,0,0,2026-08-16 06:12:30
TXN0079,CUST030,3000,failed,upi_failure,card,14,1,2026-08-17 14:12:30
TXN0080,CUST013,750,success,,upi,19,0,2026-08-19 17:12:30
TXN0081,CUST034,10000,failed,network_error,netbanking,2,2,2026-08-18 03:12:30
TXN0082,CUST025,5000,failed,card_declined,card,7,3,2026-08-16 04:12:30
TXN0083,CUST036,5000,success,,wallet,5,0,2026-08-19 13:12:30
TXN0084,CUST011,2500,failed,upi_failure,card,3,0,2026-08-17 20:12:30
TXN0085,CUST030,3000,success,,netbanking,8,0,2026-08-16 09:12:30
TXN0086,CUST027,2000,success,,upi,14,0,2026-08-19 16:12:30
TXN0087,CUST013,2000,failed,bank_timeout,netbanking,1,1,2026-08-15 03:12:30
TXN0088,CUST068,5000,success,,wallet,6,0,2026-08-16 03:12:30
TXN0089,CUST004,2000,failed,card_declined,netbanking,2,0,2026-08-17 05:12:30
TXN0090,CUST011,7500,success,,upi,14,0,2026-08-18 19:12:30
TXN0091,CUST027,5000,success,,upi,9,0,2026-08-18 01:12:30
TXN0092,CUST032,1500,success,,upi,12,0,2026-08-17 11:12:30
TXN0093,CUST067,1000,success,,card,13,0,2026-08-18 06:12:30
TXN0094,CUST008,2500,success,,upi,10,0,2026-08-19 08:12:30
TXN0095,CUST051,1000,failed,insufficient_funds,netbanking,15,1,2026-08-15 06:12:30
TXN0096,CUST002,5000,success,,netbanking,19,0,2026-08-19 21:12:30
TXN0097,CUST078,1000,success,,wallet,7,0,2026-08-20 13:12:30
TXN0098,CUST050,10000,success,,netbanking,1,0,2026-08-17 07:12:30
TXN0099,CUST076,3000,success,,netbanking,13,0,2026-08-17 21:12:30
TXN0100,CUST060,2000,success,,netbanking,10,0,2026-08-19 13:12:30
TXN0101,CUST079,2000,success,,upi,6,0,2026-08-19 04:12:30
TXN0102,CUST075,500,failed,card_declined,upi,17,3,2026-08-15 14:12:30
TXN0103,CUST051,3000,success,,netbanking,3,0,2026-08-20 22:12:30
TXN0104,CUST028,2500,failed,card_declined,wallet,11,0,2026-08-19 15:12:30
TXN0105,CUST037,2500,success,,card,13,0,2026-08-19 19:12:30
TXN0106,CUST054,2000,success,,upi,10,0,2026-08-15 07:12:30
TXN0107,CUST078,5000,success,,upi,12,0,2026-08-18 00:12:30
TXN0108,CUST008,10000,success,,wallet,9,0,2026-08-19 15:12:30
TXN0109,CUST041,500,failed,network_error,netbanking,19,3,2026-08-17 09:12:30
TXN0110,CUST030,1500,failed,insufficient_funds,card,7,2,2026-08-19 11:12:30
TXN0111,CUST040,5000,success,,wallet,20,0,2026-08-14 19:12:30
TXN0112,CUST012,500,success,,wallet,3,0,2026-08-17 22:12:30
TXN0113,CUST012,2500,success,,upi,0,0,2026-08-16 06:12:30
TXN0114,CUST019,3000,success,,wallet,12,0,2026-08-19 04:12:30
TXN0115,CUST057,7500,failed,insufficient_funds,card,14,2,2026-08-18 22:12:30
TXN0116,CUST002,1000,success,,card,6,0,2026-08-19 09:12:30
TXN0117,CUST056,7500,failed,upi_failure,wallet,17,2,2026-08-19 12:12:30
TXN0118,CUST018,10000,success,,upi,1,0,2026-08-16 20:12:30
TXN0119,CUST058,5000,success,,upi,11,0,2026-08-19 14:12:30
TXN0120,CUST049,1500,success,,card,20,0,2026-08-19 15:12:30
TXN0121,CUST033,3000,success,,wallet,20,0,2026-08-18 11:12:30
TXN0122,CUST031,1500,success,,card,0,0,2026-08-16 15:12:30
TXN0123,CUST007,2500,failed,insufficient_funds,card,13,1,2026-08-18 01:12:30
TXN0124,CUST001,750,success,,netbanking,1,0,2026-08-21 02:12:30
TXN0125,CUST043,3000,failed,network_error,upi,2,0,2026-08-17 09:12:30
TXN0126,CUST056,2000,success,,netbanking,20,0,2026-08-15 07:12:30
TXN0127,CUST036,7500,success,,wallet,5,0,2026-08-18 00:12:30
TXN0128,CUST032,3000,failed,card_declined,wallet,11,0,2026-08-15 06:12:30
TXN0129,CUST002,2000,success,,netbanking,9,0,2026-08-20 07:12:30
TXN0130,CUST055,750,success,,wallet,4,0,2026-08-21 05:12:30
TXN0131,CUST032,500,failed,authentication_failed,card,19,2,2026-08-16 15:12:30
TXN0132,CUST035,750,success,,upi,13,0,2026-08-14 19:12:30
TXN0133,CUST058,7500,success,,wallet,20,0,2026-08-15 03:12:30
TXN0134,CUST062,500,success,,card,20,0,2026-08-15 23:12:30
TXN0135,CUST018,750,success,,netbanking,10,0,2026-08-17 01:12:30
TXN0136,CUST053,5000,success,,wallet,3,0,2026-08-19 11:12:30
TXN0137,CUST009,500,success,,wallet,11,0,2026-08-15 06:12:30
TXN0138,CUST075,750,success,,upi,19,0,2026-08-18 01:12:30
TXN0139,CUST053,2000,success,,wallet,4,0,2026-08-15 04:12:30
TXN0140,CUST014,750,failed,upi_failure,card,14,3,2026-08-20 01:12:30
TXN0141,CUST002,10000,failed,upi_failure,wallet,8,3,2026-08-17 17:12:30
TXN0142,CUST077,1500,success,,upi,0,0,2026-08-17 11:12:30
TXN0143,CUST027,1500,success,,wallet,0,0,2026-08-16 10:12:30
TXN0144,CUST071,1000,success,,card,15,0,2026-08-17 20:12:30
TXN0145,CUST009,500,success,,upi,7,0,2026-08-18 20:12:30
TXN0146,CUST033,1500,success,,wallet,5,0,2026-08-16 09:12:30
TXN0147,CUST055,2000,failed,insufficient_funds,wallet,18,1,2026-08-18 10:12:30
TXN0148,CUST072,5000,success,,upi,14,0,2026-08-19 19:12:30
TXN0149,CUST007,2500,success,,upi,3,0,2026-08-16 17:12:30
TXN0150,CUST077,3000,failed,network_error,card,11,3,2026-08-15 10:12:30
TXN0151,CUST001,2500,failed,insufficient_funds,netbanking,17,3,2026-08-15 23:12:30
TXN0152,CUST065,500,success,,upi,0,0,2026-08-17 21:12:30
TXN0153,CUST013,1000,success,,wallet,1,0,2026-08-19 15:12:30
TXN0154,CUST006,750,failed,authentication_failed,card,12,2,2026-08-21 04:12:30
TXN0155,CUST063,5000,success,,netbanking,16,0,2026-08-19 20:12:30
TXN0156,CUST056,5000,success,,card,16,0,2026-08-15 17:12:30
TXN0157,CUST075,1500,success,,card,19,0,2026-08-14 22:12:30
TXN0158,CUST033,5000,success,,card,12,0,2026-08-15 00:12:30
TXN0159,CUST009,3000,success,,upi,20,0,2026-08-17 00:12:30
TXN0160,CUST053,10000,failed,upi_failure,card,6,1,2026-08-19 06:12:30
TXN0161,CUST080,10000,failed,authentication_failed,wallet,18,2,2026-08-19 03:12:30
TXN0162,CUST008,10000,success,,upi,3,0,2026-08-17 04:12:30
TXN0163,CUST029,2000,success,,netbanking,0,0,2026-08-21 09:12:30
TXN0164,CUST057,750,success,,card,17,0,2026-08-20 20:12:30
TXN0165,CUST069,1500,success,,card,8,0,2026-08-17 04:12:30
TXN0166,CUST020,7500,failed,upi_failure,upi,5,0,2026-08-15 17:12:30
TXN0167,CUST050,10000,success,,upi,10,0,2026-08-15 14:12:30
TXN0168,CUST068,2500,failed,upi_failure,card,18,2,2026-08-19 00:12:30
TXN0169,CUST038,10000,success,,upi,1,0,2026-08-19 06:12:30
TXN0170,CUST076,2500,success,,upi,3,0,2026-08-18 06:12:30
TXN0171,CUST036,5000,success,,netbanking,14,0,2026-08-17 20:12:30
TXN0172,CUST065,1000,failed,bank_timeout,wallet,20,1,2026-08-18 08:12:30
TXN0173,CUST063,2000,success,,netbanking,2,0,2026-08-21 05:12:30
TXN0174,CUST050,7500,success,,card,3,0,2026-08-21 10:12:30
TXN0175,CUST065,5000,success,,netbanking,16,0,2026-08-18 17:12:30
TXN0176,CUST007,7500,success,,card,12,0,2026-08-18 23:12:30
TXN0177,CUST008,3000,success,,wallet,10,0,2026-08-16 01:12:30
TXN0178,CUST066,1000,failed,upi_failure,upi,6,0,2026-08-19 11:12:30
TXN0179,CUST069,500,success,,upi,3,0,2026-08-19 15:12:30
TXN0180,CUST054,500,success,,upi,2,0,2026-08-17 15:12:30
TXN0181,CUST027,10000,success,,netbanking,3,0,2026-08-16 02:12:30
TXN0182,CUST025,1500,success,,upi,17,0,2026-08-18 02:12:30
TXN0183,CUST071,1500,success,,upi,14,0,2026-08-16 10:12:30
TXN0184,CUST030,3000,success,,card,6,0,2026-08-18 10:12:30
TXN0185,CUST016,2000,failed,card_declined,netbanking,1,0,2026-08-16 19:12:30
TXN0186,CUST010,2500,success,,upi,13,0,2026-08-17 07:12:30
TXN0187,CUST012,2500,success,,wallet,0,0,2026-08-16 05:12:30
TXN0188,CUST036,2000,success,,upi,9,0,2026-08-18 22:12:30
TXN0189,CUST003,1000,success,,upi,10,0,2026-08-16 11:12:30
TXN0190,CUST001,10000,success,,upi,16,0,2026-08-19 02:12:30
TXN0191,CUST036,2500,success,,upi,20,0,2026-08-21 06:12:30
TXN0192,CUST074,2000,success,,netbanking,19,0,2026-08-15 13:12:30
TXN0193,CUST064,1500,success,,wallet,10,0,2026-08-16 14:12:30
TXN0194,CUST079,1500,failed,card_declined,card,13,3,2026-08-18 05:12:30
TXN0195,CUST071,1500,success,,upi,4,0,2026-08-16 07:12:30
TXN0196,CUST070,750,failed,upi_failure,upi,6,1,2026-08-17 04:12:30
TXN0197,CUST029,7500,success,,upi,17,0,2026-08-16 08:12:30
TXN0198,CUST040,1500,success,,card,18,0,2026-08-14 18:12:30
TXN0199,CUST034,10000,failed,upi_failure,card,11,3,2026-08-19 00:12:30
TXN0200,CUST011,2000,success,,upi,3,0,2026-08-20 09:12:30
